City Name,Latitude,Longitude,Country
Palembang,-2.9861,104.7556,Indonesia
Zhangjiajie,29.1255,110.4844,China
Kobe,34.69,135.1956,Japan
Jiaxing,30.7522,120.75,China
Charlotte,35.2083,-80.8303,United States
Guiping,23.4,110.0833,China
Lianjiang,21.6146,110.2794,China
Ximeicun,24.9633,118.3811,China
Jianguang,28.1958,115.7833,China
Yucheng,29.9888,103.0007,China
Panama City,8.9833,-79.5167,Panama
Xushan,30.1697,121.2665,China
Belem,-1.4558,-48.5039,Brazil
Virginia Beach,36.7335,-76.0435,United States
Leizhou,20.9147,110.0806,China
Gwangju,35.1653,126.8486,South Korea
Nasik,20,73.78,India
Porto Alegre,-30.0331,-51.23,Brazil
Valencia,10.1667,-68,Venezuela
Onitsha,6.1667,6.7833,Nigeria
Abu Dhabi,24.4667,54.3667,United Arab Emirates
Daejeon,36.351,127.385,South Korea
Zapopan,20.7167,-103.4,Mexico
Bronx,40.8501,-73.8662,United States
Yekaterinburg,56.8356,60.6128,Russia
Huazhou,32.6832,112.079,China
Kyoto,35.0117,135.7683,Japan
Jinhua,29.1046,119.6494,China
Amsterdam,52.3728,4.8936,Netherlands
Shuangyashan,46.6388,131.1545,China
Pizhou,34.3422,118.0097,China
El Kelaa des Srarhna,32.0481,-7.4083,Morocco
Dakar,14.6928,-17.4467,Senegal
Kharkiv,49.9925,36.2311,Ukraine
Yangshe,31.8775,120.5512,China
Guyuan,36.008,106.2782,China
Rui'an,27.778,120.6526,China
Khulna,22.8167,89.55,Bangladesh
Muscat,23.6139,58.5922,Oman
Wenling,28.3797,121.3718,China
Gaozhou,21.9135,110.8481,China
Faridabad,28.4167,77.3,India
Chizhou,30.6583,117.4849,China
Tel Aviv-Yafo,32.08,34.78,Israel
Ulaanbaatar,47.9203,106.9172,Mongolia
Goiania,-16.6667,-49.25,Brazil
Fuqing,25.7232,119.3735,China
Kayseri,38.7225,35.4875,Turkey
Wuzhong,37.9874,106.1919,China
Belgrade,44.82,20.46,Serbia
Pingdu,36.7833,119.9556,China
Milan,45.4669,9.19,Italy
Aurangabad,19.88,75.32,India
Copenhagen,55.6761,12.5683,Denmark
Yangquan,37.8576,113.5762,China
Yutan,28.3147,112.554,China
Huangshan,29.7132,118.3151,China
Auckland,-36.8406,174.74,New Zealand
Makassar,-5.1619,119.4362,Indonesia
Milwaukee,43.0642,-87.9675,United States
Rajkot,22.3,70.7833,India
Prague,50.0875,14.4214,Czechia
Samsun,41.2903,36.3336,Turkey
Liangshi,27.2578,111.7351,China
Barranquilla,10.9833,-74.8019,Colombia
Saitama,35.8614,139.6456,Japan
Guarulhos,-23.4628,-46.5328,Brazil
Al Basrah,30.515,47.81,Iraq
Mandalay,21.9831,96.0844,Myanmar
Juarez,31.7386,-106.487,Mexico
Xintai,35.91,117.78,China
Wusong,30.9333,117.7667,China
Meerut,28.98,77.71,India
Yushu,44.8249,126.5451,China
Rongcheng,26.2312,104.0966,China
Adelaide,-34.9275,138.6,Australia
Baishan,41.9377,126.4179,China
Dayan,26.8808,100.2208,China
Haicheng,40.8523,122.7474,China
Tripoli,32.8872,13.1914,Libya
Jiangyin,31.9087,120.2653,China
Yicheng,31.3697,119.8239,China
Huaiyin,33.5819,119.028,China
Porto,41.1621,-8.622,Portugal
Cacuaco,-8.8053,13.2444,Angola
Soweto,-26.2678,27.8585,South Africa
Rosario,-32.9575,-60.6394,Argentina
Canagatan,18,121.8,Philippines
Helsinki,60.1708,24.9375,Finland
Jabalpur,23.1667,79.9333,India
Providence,41.823,-71.4187,United States
Rucheng,32.3852,120.5634,China
Nizhniy Novgorod,56.3269,44.0075,Russia
Ahvaz,31.3203,48.6692,Iran
Jepara,-6.5333,110.6667,Indonesia
Comayaguela,14.0981,-87.2097,Honduras
Laiwu,36.1833,117.6667,China
Sharjah,25.3575,55.3908,United Arab Emirates
Kalamboli,19.2333,73.1333,India
Jingling,30.6667,113.1667,China
Kazan,55.7964,49.1089,Russia
Suwon,37.2667,127.0167,South Korea
Yongcheng,33.9317,116.4459,China
Sumedang,-6.84,107.9208,Indonesia
Calgary,51.05,-114.0667,Canada
Can Tho,10.0333,105.7833,Vietnam
Yiwu,29.3081,120.0698,China
Bagam,1.0833,104.0333,Indonesia
Beidao,34.602,105.918,China
Vasai,19.47,72.8,India
Xiangshui,26.5964,104.8314,China
Jacksonville,30.3322,-81.6749,United States
Akcaabat,41.0167,39.55,Turkey
Campinas,-22.9058,-47.0608,Brazil
Dadukou,26.5849,101.7149,China
Mombasa,-4.05,39.6667,Kenya
Lingcheng,22.7,110.35,China
Najafgarh,28.6092,76.9798,India
Vila Velha,3.2167,-51.2167,Brazil
Gazipura,23.9889,90.375,Bangladesh
Chelyabinsk,55.15,61.4,Russia
Varanasi,25.3189,83.0128,India
Xinyu,27.795,114.9242,China
Qom,34.64,50.8764,Iran
Hargeysa,9.5631,44.0675,Somalia
Zhangye,38.9355,100.4553,China
Hiroshima,34.3914,132.4519,Japan
Maiduguri,11.8333,13.15,Nigeria
Chiang Mai,18.7953,98.9986,Thailand
Doha,25.2867,51.5333,Qatar
Maputo,-25.9667,32.5833,Mozambique
Mbandaka,0.0478,18.2558,Congo (Kinshasa)
Pikine,14.75,-17.4,Senegal
Medina,24.47,39.61,Saudi Arabia
Srinagar,34.09,74.79,India
Omsk,54.9667,73.3833,Russia
Dublin,53.35,-6.2603,Ireland
Liaoyuan,42.8976,125.1381,China
Cilacap,-7.7167,109.017,Indonesia
Yingtan,28.2333,117,China
Bandar Lampung,-5.45,105.2667,Indonesia
Samara,53.2028,50.1408,Russia
Guankou,28.1417,113.625,China
Ulsan,35.55,129.3167,South Korea
Dhanbad,23.7998,86.4305,India
Dingzhou,38.5158,114.9845,China
Lianyuan,27.6961,111.6659,China
Kaiyuan,36.0656,113.8153,China
Nay Pyi Taw,19.7475,96.115,Myanmar
Zhuji,29.7169,120.2314,China
Kigali,-1.9536,30.0606,Rwanda
Bukavu,-2.5,28.8667,Congo (Kinshasa)
Leiyang,26.4179,112.8457,China
Bafoussam,5.4667,10.4167,Cameroon
Benin City,6.3333,5.6222,Nigeria
Rostov,47.2333,39.7,Russia
Xiantao,30.3833,113.4,China
Amritsar,31.64,74.86,India
Callao,-12.0333,-77.1333,Peru
Salt Lake City,40.7776,-111.9311,United States
Aligarh,27.88,78.08,India
Shagamu,6.8333,3.65,Nigeria
Yingchuan,34.1511,113.4733,China
Ciudad Nezahualcoyotl,19.4081,-99.0186,Mexico
Tbilisi,41.7225,44.7925,Georgia
Guwahati,26.1722,91.7458,India
Ufa,54.7261,55.9475,Russia
Fes,34.0433,-5.0033,Morocco
Sao Luis,-2.5283,-44.3044,Brazil
Bien Hoa,10.95,106.8167,Vietnam
Sevilla,37.24,-5.99,Spain
N'Djamena,12.11,15.05,Chad
Mexicali,32.6633,-115.4678,Mexico
Nezahualcoyotl,19.4006,-99.0148,Mexico
Ikare,7.5167,5.75,Nigeria
Nashville,36.1715,-86.7842,United States
Tamale,9.4075,-0.8533,Ghana
Xibeijie,39.737,98.5049,China
Yuyao,30.0372,121.1546,China
Haora,22.58,88.3294,India
Hanchuan,30.652,113.8274,China
Gongzhuling,43.5036,124.8088,China
Krasnoyarsk,56.0089,92.8719,Russia
Cologne,50.9364,6.9528,Germany
Bujumbura,-3.3833,29.3667,Burundi
Bishkek,42.8747,74.6122,Kyrgyzstan
Zhufeng,36,119.4167,China
Sao Goncalo,-22.8269,-43.0539,Brazil
Yerevan,40.1814,44.5144,Armenia
Ezhou,30.3972,114.8842,China
Nur-Sultan,51.1472,71.4222,Kazakhstan
Tongjin,37.2333,127.2,South Korea
Nouakchott,18.0858,-15.9785,Mauritania
Xiashi,30.5333,120.6833,China
Ranchi,23.36,85.33,India
Taixing,32.1724,120.0142,China
Vereeniging,-26.6736,27.9319,South Africa
Gwalior,26.2215,78.178,India
Zhongwei,37.5139,105.1884,China
Goyang,37.65,126.8,South Korea
Oslo,59.9133,10.7389,Norway
Vijayawada,16.5193,80.6305,India
Chandigarh,30.75,76.78,India
Edmonton,53.5344,-113.4903,Canada
Sendai,38.2682,140.8694,Japan
Raleigh,35.8324,-78.6429,United States
Mizhou,35.99,119.3801,China
Tunis,36.8064,10.1817,Tunisia
Xishan,27.6609,113.4946,China
Barquisimeto,10.0678,-69.3467,Venezuela
Hegang,47.3139,130.2775,China
