Manufacturer,Model Number,Safety Certification,Pmax,PTC,Technology,A_c,N_s,N_p,BIPV,Isc,Voc,Ipmax,Vpmax,NOCT,Tc_pmax,Tc_isc,Tc_voc,Short Side,Long Side
Advance Power,API-P250,UL 1703,250,223.4,Multi-c-Si,1.638,60,1,N,8.52,37.2,8.03,31.2,47.6,-0.4501,0.05758,-0.3342,0.995,1.646
Advance Power,API-M255,UL 1703,255,228.2,Mono-c-Si,1.638,60,1,N,8.67,37.68,8.35,30.6,46,-0.4796,0.05373,-0.3564,0.995,1.646
Advance Power,API-P255,UL 1703,255,228,Multi-c-Si,1.638,60,1,N,8.56,37.5,8.08,31.56,47.6,-0.4501,0.05758,-0.3342,0.995,1.646
Advance Power,API-M260,UL 1703,260,232.9,Mono-c-Si,1.638,60,1,N,8.8,37.8,8.5,30.6,46,-0.4796,0.05373,-0.3564,0.995,1.646
Advance Power,API-P260,UL 1703,260,231.5,Multi-c-Si,1.951,72,1,N,7.83,43.2,7.24,35.93,47.6,-0.4501,0.05758,-0.3342,0.995,1.961
Advance Power,API-M265,UL 1703,265,235.7,Mono-c-Si,1.951,72,1,N,8.11,44.42,7.36,36,47.9,-0.4485,0.05332,-0.3244,0.995,1.961
Advance Power,API-P265,UL 1703,265,236,Multi-c-Si,1.951,72,1,N,7.95,43.27,7.33,36.14,47.6,-0.4501,0.05758,-0.3342,0.995,1.961
Advance Power,API-M270,UL 1703,270,240.3,Mono-c-Si,1.951,72,1,N,8.14,44.64,7.44,36.21,47.9,-0.4485,0.05332,-0.3244,0.995,1.961
Advance Power,API-P270,UL 1703,270,240.6,Multi-c-Si,1.951,72,1,N,8.1,43.7,7.41,36.43,47.6,-0.4501,0.05758,-0.3342,0.995,1.961
Advance Power,API-M275,UL 1703,275,244.9,Mono-c-Si,1.951,72,1,N,8.18,44.78,7.52,36.58,47.9,-0.4485,0.05332,-0.3244,0.995,1.961
Advance Power,API-P275,UL 1703,275,245.2,Multi-c-Si,1.951,72,1,N,8.17,43.92,7.52,36.58,47.6,-0.4501,0.05758,-0.3342,0.995,1.961
Advance Power,API-M280,UL 1703,280,249.5,Mono-c-Si,1.951,72,1,N,8.21,44.86,7.6,36.86,47.9,-0.4485,0.05332,-0.3244,0.995,1.961
Advance Power,API-P280,UL 1703,280,249.8,Multi-c-Si,1.951,72,1,N,8.23,44.06,7.63,36.72,47.6,-0.4501,0.05758,-0.3342,0.995,1.961
Advance Power,API-M285,UL 1703,285,254,Mono-c-Si,1.951,72,1,N,8.39,44.21,7.77,36.72,47.9,-0.4485,0.05332,-0.3244,0.995,1.961
Advance Power,API-P285,UL 1703,285,256.9,Multi-c-Si,1.951,72,1,N,8.32,44.21,7.75,36.79,46.2,-0.4402,0.06001,-0.3285,0.995,1.961
Advance Power,API-M290,UL 1703,290,258.6,Mono-c-Si,1.951,72,1,N,8.48,44.43,7.9,36.72,47.9,-0.4485,0.05332,-0.3244,0.995,1.961
Advance Power,API-P290,UL 1703,290,261.5,Multi-c-Si,1.951,72,1,N,8.46,44.28,7.96,36.79,46.2,-0.4402,0.06001,-0.3285,0.995,1.961
Advance Power,API-P295,UL 1703,295,266.1,Multi-c-Si,1.951,72,1,N,8.49,44.42,8,37.01,46.2,-0.4402,0.06001,-0.3285,0.995,1.961
Advance Power,API-P300,UL 1703,300,270.7,Multi-c-Si,1.951,72,1,N,8.54,44.86,8.05,37.66,46.2,-0.4402,0.06001,-0.3285,0.995,1.961
Advance Power,API-P305,UL 1703,305,275.4,Multi-c-Si,1.951,72,1,N,8.56,45,8.08,37.87,46.2,-0.4402,0.06001,-0.3285,0.995,1.961
Advance Power,API-P310,UL 1703,310,277.3,Multi-c-Si,1.951,72,1,N,8.62,45.22,8.16,38.02,47.6,-0.4501,0.05758,-0.3342,0.995,1.961
Advance Power,API-P315,UL 1703,315,281.9,Multi-c-Si,1.951,72,1,N,8.67,45.58,8.24,38.45,47.6,-0.4501,0.05758,-0.3342,0.995,1.961
Advance Power,API-P320,UL 1703,320,288.7,Multi-c-Si,1.94,72,,N,9.38,45.5,8.75,36.6,47.7,-0.42,0.05,-0.32,,
Advance Power,API-P325,UL 1703,325,293.4,Multi-c-Si,1.94,72,,N,9.44,45.8,8.81,36.9,47.7,-0.42,0.05,-0.32,,
Advance Power,API-M330,UL 1703,330,302.4,Mono-c-Si,1.94,72,,N,9.57,46.8,8.75,37.7,44.6,-0.42,0.04,-0.3,,
Advance Power,API-P330,UL 1703,330,298,Multi-c-Si,1.94,72,,N,9.5,46.1,8.87,37.2,47.7,-0.42,0.05,-0.32,,
Advance Power,API-M335,UL 1703,335,307.1,Mono-c-Si,1.94,72,,N,9.61,47,8.82,38,44.6,-0.42,0.04,-0.3,,
Advance Power,API-P335,UL 1703,335,302.7,Multi-c-Si,1.94,72,,N,9.56,46.4,8.94,37.6,47.7,-0.42,0.05,-0.32,,
Advance Power,API-M340,UL 1703,340,311.8,Mono-c-Si,1.94,72,,N,9.64,47.2,8.96,38.3,44.6,-0.42,0.04,-0.3,,
Advance Power,API-M345,UL 1703,345,315.8,Mono-c-Si,1.94,72,,N,9.72,47.3,8.98,38.4,44.6,-0.43,0.04,-0.3,,
Advance Power,API-M350,UL 1703,350,320.5,Mono-c-Si,1.94,72,,N,9.81,47.4,9.1,38.5,44.6,-0.43,0.04,-0.3,,
Advance Power,API-M355,UL 1703,355,325.5,Mono-c-Si,1.94,72,,N,9.9,47.5,9.21,38.6,46.7,-0.386,0.042,-0.282,,
Advance Power,API-M360,UL 1703,360,330.2,Mono-c-Si,1.94,72,,N,9.99,47.6,9.32,38.6,46.7,-0.386,0.042,-0.282,,
Advance Power,API-M365,UL 1703,365,334.9,Mono-c-Si,1.94,72,,N,10.08,47.7,9.43,38.7,46.7,-0.386,0.042,-0.282,,
Advance Power,API-M370,UL 1703,370,339.6,Mono-c-Si,1.94,72,,N,10.17,47.8,9.54,38.8,46.7,-0.386,0.042,-0.282,,
Advanced Solar Power (Hangzhou),ASP-S1-80,UL 1703,80,75.2,Thin Film,0.72,145,1,N,0.95,118.9,0.85,94.1,45.2,-0.2634,0.0897,-0.3058,0.6,1.2
Alps Technology,ATI-S572-175,UL 1703,175,151.3,Mono-c-Si,1.287,72,1,N,5.17,43.99,4.78,36.63,49.9,-0.5072,0.0415,-0.3616,0.82,1.57
Alps Technology,ATI-S572-180,UL 1703,180,155.7,Mono-c-Si,1.287,72,1,N,5.31,44.06,4.9,36.72,49.9,-0.5072,0.0415,-0.3616,0.82,1.57
Alps Technology,ATI-S572-185,UL 1703,185,160.2,Mono-c-Si,1.287,72,1,N,5.43,44.14,5.03,36.79,49.9,-0.5072,0.0415,-0.3616,0.82,1.57
Alps Technology,ATI-M660-220,UL 1703,220,189.1,Multi-c-Si,1.61,60,1,N,7.95,36.06,7.3,30.12,50.2,-0.5196,0.0548,-0.3624,0.99,1.626
Alps Technology,ATI-M660-225,UL 1703,225,193.6,Multi-c-Si,1.61,60,1,N,8.04,36.24,7.44,30.24,50.2,-0.5196,0.0548,-0.3624,0.99,1.626
Alps Technology,ATI-M660-230,UL 1703,230,198,Multi-c-Si,1.61,60,1,N,8.1,36.42,7.58,30.36,50.2,-0.5196,0.0548,-0.3624,0.99,1.626
Alps Technology,ATI-M660-235,UL 1703,235,202.5,Multi-c-Si,1.61,60,1,N,8.23,36.72,7.68,30.6,50.2,-0.5196,0.0548,-0.3624,0.99,1.626
Alps Technology,ATI-M660-240,UL 1703,240,207,Multi-c-Si,1.61,60,1,N,8.32,36.84,7.83,30.72,50.2,-0.5196,0.0548,-0.3624,0.99,1.626
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P30-245W,UL 1703,245,216.4,Multi-c-Si,1.624,60,1,N,8.75,37.5,8.17,30,46.8,-0.51,0.07,-0.37,0.99,1.64
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P30-250W,UL 1703,250,221,Multi-c-Si,1.624,60,1,N,8.83,37.7,8.28,30.2,46.8,-0.51,0.07,-0.37,0.99,1.64
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P30-255W,UL 1703,255,225.5,Multi-c-Si,1.624,60,1,N,8.89,37.3,8.51,30,46.8,-0.51,0.07,-0.37,0.99,1.64
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P30-260W,UL 1703,260,230.1,Multi-c-Si,1.624,60,1,N,9.01,38,8.5,30.6,46.8,-0.51,0.07,-0.37,0.99,1.64
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P30-265W,UL 1703,265,241.7,Multi-c-Si,1.611,60,1,N,9.24,38.29,8.62,30.74,45.3,-0.422,0.0551,-0.313,0.986,1.634
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P30-270W,UL 1703,270,246.4,Multi-c-Si,1.611,60,1,N,9.31,38.72,8.72,30.97,45.3,-0.422,0.0551,-0.313,0.986,1.634
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P30-275W,UL 1703,275,251.1,Multi-c-Si,1.611,60,1,N,9.35,38.92,8.78,31.32,45.3,-0.422,0.0551,-0.313,0.986,1.634
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6M30-280W,UL 1703,280,255.9,Mono-c-Si,1.611,60,1,N,9.23,39.26,9.03,31.01,45.2,-0.421,0.0491,-0.297,0.986,1.634
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P30-280W,UL 1703,280,255.8,Multi-c-Si,1.611,60,1,N,9.47,39.16,8.84,31.68,45.3,-0.422,0.0551,-0.313,0.986,1.634
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6M30-285W,UL 1703,285,260.6,Mono-c-Si,1.611,60,1,N,9.46,39.18,8.95,31.85,45.2,-0.421,0.0491,-0.297,0.986,1.634
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P-320W,UL 1703,320,291.9,Multi-c-Si,1.923,72,1,N,9.24,45.94,8.62,37.13,45.3,-0.422,0.0551,-0.313,0.986,1.95
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P-325W,UL 1703,325,296.6,Multi-c-Si,1.923,72,1,N,9.28,46.31,8.72,37.28,45.3,-0.422,0.0551,-0.313,0.986,1.95
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P-330W,UL 1703,330,301.3,Multi-c-Si,1.923,72,1,N,9.35,46.65,8.78,37.58,45.3,-0.422,0.0551,-0.313,0.986,1.95
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6M-335W,UL 1703,335,306.2,Mono-c-Si,1.923,72,1,N,9.33,46.75,8.83,37.94,45.2,-0.421,0.0491,-0.297,0.986,1.95
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6P-335W,UL 1703,335,306,Multi-c-Si,1.923,72,1,N,9.47,46.83,8.84,37.9,45.3,-0.422,0.0551,-0.313,0.986,1.95
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6M-340W,UL 1703,340,310.9,Mono-c-Si,1.923,72,1,N,9.41,46.91,8.91,38.17,45.2,-0.421,0.0491,-0.297,0.986,1.95
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6M-345W,UL 1703,345,315.6,Mono-c-Si,1.923,72,1,N,9.48,47.13,8.99,38.38,45.2,-0.421,0.0491,-0.297,0.986,1.95
"Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd",AS-6M-350W,UL 1703,350,320.3,Mono-c-Si,1.923,72,1,N,9.59,47.64,9.09,38.51,45.2,-0.421,0.0491,-0.297,0.986,1.95
Andalay Solar,ST-175-1AC1-A-A,UL 1741,175,157.5,Mono-c-Si,1.277,72,1,N,5.2,44.2,4.95,35.2,46.4,-0.435,0.044,-0.322,0.808,1.58
Andalay Solar,ST-175-1AC3-B-A,UL 1741,175,157.5,Mono-c-Si,1.277,72,1,N,5.2,44.2,4.95,35.2,46.4,-0.435,0.044,-0.322,0.808,1.58
Andalay Solar,ST-185-1AC1-A-A,UL 1741,185,167.2,Mono-c-Si,1.277,72,1,N,5.43,45,5.09,36.4,45.8,-0.436,0.055,-0.326,0.808,1.58
Andalay Solar,ST-185-1AC1-A-B,UL 1741,185,167.2,Mono-c-Si,1.277,72,1,N,5.43,45,5.09,36.4,45.8,-0.436,0.055,-0.326,0.808,1.58
Andalay Solar,ST-185-1AC3-B-A,UL 1741,185,167.2,Mono-c-Si,1.277,72,1,N,5.43,45,5.09,36.4,45.8,-0.436,0.055,-0.326,0.808,1.58
Andalay Solar,ST-185-1AC3-B-B,UL 1741,185,167.2,Mono-c-Si,1.277,72,1,N,5.43,45,5.09,36.4,45.8,-0.436,0.055,-0.326,0.808,1.58
Andalay Solar,ST-190-1AC1-A-B,UL 1741,190,171.8,Mono-c-Si,1.277,72,1,N,5.62,45.2,5.2,36.6,45.8,-0.436,0.055,-0.326,0.808,1.58
Andalay Solar,ST-190-1AC3-B-B,UL 1741,190,171.8,Mono-c-Si,1.277,72,1,N,5.62,45.2,5.2,36.6,45.8,-0.436,0.055,-0.326,0.808,1.58
Andalay Solar,ST-195-1AC1-A-B,UL 1741,195,176.5,Mono-c-Si,1.277,72,1,N,5.69,45.4,5.33,36.6,45.8,-0.436,0.055,-0.326,0.808,1.58
Andalay Solar,ST-195-1AC3-B-B,UL 1741,195,176.5,Mono-c-Si,1.277,72,1,N,5.69,45.4,5.33,36.6,45.8,-0.436,0.055,-0.326,0.808,1.58
Andalay Solar,LW-230-1-AC0-D-B,UL 1741,230,204.4,Multi-c-Si,1.619,60,1,N,8.38,36.6,7.87,29.2,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-230-1-AC1-A-B,UL 1741,230,204.4,Multi-c-Si,1.619,60,1,N,8.38,36.6,7.87,29.2,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-230-1-AC2-D-B,UL 1741,230,204.4,Multi-c-Si,1.619,60,1,N,8.38,36.6,7.87,29.2,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-230-1-AC3-B-B,UL 1741,230,204.4,Multi-c-Si,1.619,60,1,N,8.38,36.6,7.87,29.2,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-235-1-AC0-D-B,UL 1741,235,209,Multi-c-Si,1.619,60,1,N,8.45,37.2,8,29.6,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-235-1-AC1-A-B,UL 1741,235,209,Multi-c-Si,1.619,60,1,N,8.45,37.2,8,29.6,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-235-1-AC2-D-B,UL 1741,235,209,Multi-c-Si,1.619,60,1,N,8.45,37.2,8,29.6,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-235-1-AC3-B-B,UL 1741,235,209,Multi-c-Si,1.619,60,1,N,8.45,37.2,8,29.6,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-240-1-AC0-D-B,UL 1741,240,213.6,Multi-c-Si,1.619,60,1,N,8.56,37.4,8.05,29.8,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-240-1-AC1-A-B,UL 1741,240,213.6,Multi-c-Si,1.619,60,1,N,8.56,37.4,8.05,29.8,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-240-1-AC2-D-B,UL 1741,240,213.6,Multi-c-Si,1.619,60,1,N,8.56,37.4,8.05,29.8,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,LW-240-1-AC3-B-B,UL 1741,240,213.6,Multi-c-Si,1.619,60,1,N,8.56,37.4,8.05,29.8,48.2,-0.45,0.06,-0.34,0.985,1.644
Andalay Solar,TW-240-1-AC2-D-B,UL 1741,240,212.4,Multi-c-Si,1.277,72,1,N,8.48,36.2,7.86,30.5,48.8,-0.49,0.06,-0.36,0.808,1.58
Andalay Solar,TW-245-1-AC2-D-B,UL 1741,245,217,Multi-c-Si,1.277,72,1,N,8.59,36.4,7.97,30.75,48.8,-0.49,0.06,-0.36,0.808,1.58
Andalay Solar,TW-250-1-AC2-D-B,UL 1741,250,221.6,Multi-c-Si,1.277,72,1,N,8.75,36.8,8.1,30.9,48.8,-0.49,0.06,-0.36,0.808,1.58
Anhui Rinengzhongtian Semiconductor Development,QJM160-72,UL 1703,160,141.5,Mono-c-Si,1.277,72,1,N,5.12,42.42,4.57,35.01,46.9,-0.484,0.054,-0.367,0.808,1.58
Anhui Rinengzhongtian Semiconductor Development,QJM165-72,UL 1703,165,146,Mono-c-Si,1.277,72,1,N,5.22,42.5,4.66,35.4,46.9,-0.484,0.054,-0.367,0.808,1.58
Anhui Rinengzhongtian Semiconductor Development,QJM170-72,UL 1703,170,150.5,Mono-c-Si,1.277,72,1,N,5.35,42.7,4.78,35.6,46.9,-0.484,0.054,-0.367,0.808,1.58
Anhui Rinengzhongtian Semiconductor Development,QJM175-72,UL 1703,175,155.1,Mono-c-Si,1.277,72,1,N,5.45,43.1,4.87,35.9,46.9,-0.484,0.054,-0.367,0.808,1.58
Anhui Rinengzhongtian Semiconductor Development,QJM180-72,UL 1703,180,159.6,Mono-c-Si,1.277,72,1,N,5.59,43.3,4.99,36.1,46.9,-0.484,0.054,-0.367,0.808,1.58
Anhui Rinengzhongtian Semiconductor Development,QJM185-72,UL 1703,185,164.2,Mono-c-Si,1.277,72,1,N,5.72,43.4,5.11,36.2,46.9,-0.484,0.054,-0.367,0.808,1.58
Anhui Rinengzhongtian Semiconductor Development,QJM190-72,UL 1703,190,168.8,Mono-c-Si,1.277,72,1,N,5.86,43.5,5.23,36.3,46.9,-0.484,0.054,-0.367,0.808,1.58
Anhui Rinengzhongtian Semiconductor Development,QJM195-72,UL 1703,195,173.4,Mono-c-Si,1.277,72,1,N,6.01,43.6,5.37,36.3,46.9,-0.484,0.054,-0.367,0.808,1.58
Anhui Rinengzhongtian Semiconductor Development,QJM200-72,UL 1703,200,178,Mono-c-Si,1.277,72,1,N,5.95,45.7,5.54,36.12,46.9,-0.484,0.054,-0.367,0.808,1.58
Anhui Rinengzhongtian Semiconductor Development,QJP205-60,UL 1703,205,182.3,Multi-c-Si,1.627,60,1,N,7.84,35.1,7,29.3,46.9,-0.462,0.073,-0.361,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP210-60,UL 1703,210,186.9,Multi-c-Si,1.627,60,1,N,8.01,35.2,7.14,29.4,46.9,-0.462,0.073,-0.361,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP215-60,UL 1703,215,191.5,Multi-c-Si,1.627,60,1,N,8.16,35.4,7.29,29.5,46.9,-0.462,0.073,-0.361,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJM220-60,UL 1703,220,197.6,Mono-c-Si,1.627,60,1,N,7.98,36.29,7.46,29.5,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP220-60,UL 1703,220,196,Multi-c-Si,1.627,60,1,N,8.32,35.4,7.46,29.5,46.9,-0.462,0.073,-0.361,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJM225-60,UL 1703,225,202.2,Mono-c-Si,1.627,60,1,N,8.13,36.41,7.6,29.6,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP225-60,UL 1703,225,200.6,Multi-c-Si,1.627,60,1,N,8.46,35.8,7.6,29.6,46.9,-0.462,0.073,-0.361,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJM230-60,UL 1703,230,206.8,Mono-c-Si,1.627,60,1,N,8.29,36.53,7.74,29.7,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP230-60,UL 1703,230,205.2,Multi-c-Si,1.627,60,1,N,8.6,36,7.72,29.8,46.9,-0.462,0.073,-0.361,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJM235-60,UL 1703,235,211.4,Mono-c-Si,1.627,60,1,N,8.44,36.65,7.89,29.8,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP235-60,UL 1703,235,209.8,Multi-c-Si,1.627,60,1,N,8.75,36.1,7.83,30,46.9,-0.462,0.073,-0.361,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJM240-60,UL 1703,240,216,Mono-c-Si,1.627,60,1,N,8.59,36.78,8.03,29.9,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP240-60,UL 1703,240,214.4,Multi-c-Si,1.627,60,1,N,8.9,36.2,7.95,30.2,46.9,-0.462,0.073,-0.361,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJM245-60,UL 1703,245,220.6,Mono-c-Si,1.627,60,1,N,8.71,37.02,8.14,30.1,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP245-60,UL 1703,245,219,Multi-c-Si,1.627,60,1,N,9.06,36.4,8.09,30.3,46.9,-0.462,0.073,-0.361,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJM250-60,UL 1703,250,225.3,Mono-c-Si,1.627,60,1,N,8.86,37.15,8.28,30.2,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP250-60,UL 1703,250,223.6,Multi-c-Si,1.627,60,1,N,9.21,36.5,8.22,30.4,46.9,-0.462,0.073,-0.361,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJM255-60,UL 1703,255,229.9,Mono-c-Si,1.627,60,1,N,8.92,37.64,8.33,30.6,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP255-60,UL 1703,255,231,Multi-c-Si,1.627,60,1,N,8.95,37.52,8.36,30.5,45.4,-0.44277,0.056061,-0.3302,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP255-72,UL 1703,255,227.1,Multi-c-Si,1.94,72,1,N,8.13,42.1,7.26,35.1,46.9,-0.462,0.073,-0.361,0.992,1.956
Anhui Rinengzhongtian Semiconductor Development,QJM260-60,UL 1703,260,234.5,Mono-c-Si,1.627,60,1,N,9.15,37.39,8.55,30.4,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP260-60,UL 1703,260,235.7,Multi-c-Si,1.627,60,1,N,9.09,37.64,8.5,30.6,45.4,-0.44277,0.056061,-0.3302,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP260-72,UL 1703,260,231.6,Multi-c-Si,1.94,72,1,N,8.27,42.2,7.39,35.2,46.9,-0.462,0.073,-0.361,0.992,1.956
Anhui Rinengzhongtian Semiconductor Development,QJM265-60,UL 1703,265,239.2,Mono-c-Si,1.627,60,1,N,9.3,37.52,8.69,30.5,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP265-60,UL 1703,265,240.4,Multi-c-Si,1.627,60,1,N,9.24,37.76,8.63,30.7,45.4,-0.44277,0.056061,-0.3302,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJP265-72,UL 1703,265,236.2,Multi-c-Si,1.94,72,1,N,8.41,42.3,7.51,35.3,46.9,-0.462,0.073,-0.361,0.992,1.956
Anhui Rinengzhongtian Semiconductor Development,QJM270-60,UL 1703,270,243.8,Mono-c-Si,1.627,60,1,N,9.44,37.64,8.82,30.6,45.2,-0.46817,0.033267,-0.32704,0.992,1.64
Anhui Rinengzhongtian Semiconductor Development,QJM270-72,UL 1703,270,242,Mono-c-Si,1.94,72,1,N,8.14,43.67,7.61,35.5,45.7,-0.46757,0.042146,-0.33887,0.992,1.956
Anhui Rinengzhongtian Semiconductor Development,QJP270-60,UL 1703,270,245,Multi-c-Si,1.627,60,1,N,9.38,37.88,8.77,30.8,45.4,-0.44277,0.056061,-0.3302,0.992,1.64
